customer_id,customer_name,gender,age,customer_segment,registration_date,total_rides,average_rating_given,repeat_customer,city,district
1,Edward Ramirez,Female,33,Regular,2025-11-28,13,4.55,False,Lima,La Molina
2,Sabrina Brown,Male,55,Regular,2021-01-21,53,4.23,True,Lima,Los Olivos
3,Sean Coleman,Male,32,Regular,2025-12-14,48,4.62,False,Lima,Ate
4,Marissa Palmer,Male,63,Regular,2025-05-06,288,5.0,True,Lima,Ate
5,Robert Johnson,Female,18,Regular,2022-08-26,230,4.18,True,Lima,Barranco
6,Lisa Adkins,Female,27,Regular,2025-08-12,175,4.18,True,Lima,La Molina
7,Jesse Maxwell,Male,23,Business,2022-09-05,769,5.0,True,Lima,Los Olivos
8,Heather Potts,Female,20,Regular,2024-10-29,177,4.68,True,Lima,Centro de Lima
9,Janice Gardner,Male,53,Regular,2026-04-13,194,4.07,True,Lima,Surco
10,Melanie Ramirez,Female,54,Premium,2024-12-18,673,4.76,True,Lima,La Molina
11,Claudia Bailey,Male,36,Premium,2025-07-04,86,4.46,True,Lima,San Isidro
12,Bridget Buchanan,Female,35,Premium,2022-11-29,143,4.46,True,Lima,Centro de Lima
13,Cynthia Ray,Male,41,Regular,2025-12-27,187,4.42,True,Lima,San Miguel
14,John Bell,Male,56,Regular,2021-10-17,137,3.34,True,Lima,Barranco
15,John Jones,Male,47,Regular,2025-12-12,126,3.44,True,Lima,Los Olivos
16,Deanna Johnson,Male,61,Regular,2022-03-21,328,4.02,True,Lima,San Miguel
17,Thomas Thompson,Male,32,Premium,2020-06-16,834,4.3,True,Lima,Miraflores
18,Jessica Douglas,Female,22,Premium,2025-10-30,450,4.69,True,Lima,La Molina
19,Rebecca Santiago,Female,31,Business,2022-10-10,1241,4.52,True,Lima,Centro de Lima
20,James Curry,Female,27,Regular,2025-03-28,330,3.59,True,Lima,Surco
21,Ryan Brewer,Female,65,Regular,2023-01-15,382,5.0,True,Lima,Callao
22,Cynthia Abbott,Female,41,Regular,2024-05-01,299,4.19,True,Lima,La Molina
23,Jacob Chase,Female,23,Business,2024-09-04,363,4.71,True,Lima,Miraflores
24,James Johnson,Male,61,Premium,2022-07-09,196,4.17,True,Lima,Los Olivos
25,Sarah Serrano,Female,56,Regular,2022-05-04,198,4.03,True,Lima,Centro de Lima
26,James Hernandez,Male,61,Regular,2025-05-01,284,4.36,True,Lima,San Isidro
27,Kathryn Velazquez,Female,59,Regular,2026-03-14,275,3.72,True,Lima,San Miguel
28,Steve Anderson,Male,47,Regular,2025-05-17,223,4.49,True,Lima,Miraflores
29,Holly Wilson,Male,50,Business,2022-12-11,619,4.58,True,Lima,San Isidro
30,Karen Miller,Male,27,Premium,2021-05-21,345,4.51,True,Lima,San Miguel
31,Susan Brown,Male,56,Premium,2024-03-12,592,4.42,True,Lima,San Miguel
32,Kimberly Brown,Female,37,Regular,2021-02-17,58,5.0,True,Lima,La Molina
33,Mark Reyes,Male,23,Regular,2023-02-09,291,4.29,True,Lima,Centro de Lima
34,Christopher Noble,Male,26,Premium,2023-03-01,818,4.28,True,Lima,Centro de Lima
35,Chelsea Potter,Female,51,Business,2023-10-26,418,4.86,True,Lima,Callao
36,Calvin Mccarthy,Male,63,Regular,2025-03-21,109,3.69,True,Lima,Surco
37,Deanna Estrada,Female,46,Regular,2024-05-10,344,4.4,True,Lima,Ate
38,Johnny Newton,Male,22,Regular,2024-04-19,127,3.32,True,Lima,San Miguel
39,Jennifer Holmes,Male,55,Regular,2022-06-22,284,3.64,True,Lima,La Molina
40,Shannon Collins,Male,32,Regular,2020-12-14,363,4.4,True,Lima,San Isidro
41,Linda Gutierrez,Male,50,Business,2021-11-12,756,4.85,True,Lima,La Molina
42,Andrew Wilson,Male,52,Regular,2025-01-17,249,4.39,True,Lima,Barranco
43,Kathleen Cortez,Female,33,Premium,2020-10-06,624,4.57,True,Lima,Centro de Lima
44,Bradley Miller,Male,24,Premium,2024-12-10,234,4.51,True,Lima,Los Olivos
45,Brandon Thomas,Female,64,Regular,2021-04-29,211,3.56,True,Lima,Miraflores
46,Martin Odom,Male,21,Regular,2024-12-06,331,3.94,True,Lima,Los Olivos
47,Susan Howell,Male,33,Premium,2020-10-14,859,4.46,True,Lima,La Molina
48,Molly Nguyen,Male,45,Regular,2025-02-06,230,4.83,True,Lima,Barranco
49,Robert Brown,Male,46,Regular,2023-02-01,128,4.47,True,Lima,Ate
50,Joseph Guzman,Male,23,Regular,2021-07-25,334,3.42,True,Lima,La Molina
51,Sarah Waller,Female,31,Regular,2021-10-07,249,4.46,True,Lima,Los Olivos
52,Gail Alvarado,Female,18,Business,2021-01-22,417,4.62,True,Lima,Los Olivos
53,Laura Brown,Female,45,Regular,2021-06-01,233,3.96,True,Lima,Ate
54,Angela Moore,Male,30,Regular,2024-09-01,250,4.61,True,Lima,Surco
55,Jonathan Martinez,Male,65,Regular,2024-08-18,30,4.82,False,Lima,San Miguel
56,James Mckenzie,Female,50,Regular,2022-08-24,300,4.77,True,Lima,Ate
57,Daniel Wiggins,Male,29,Regular,2025-12-15,261,3.88,True,Lima,San Isidro
58,Michael Snyder,Male,43,Regular,2023-05-20,346,4.15,True,Lima,San Isidro
59,Bruce Villarreal,Male,55,Business,2023-08-05,1246,4.77,True,Lima,Callao
60,Steven Riddle,Female,60,Regular,2024-06-11,42,4.79,False,Lima,Callao
61,Alexandra Singleton,Female,31,Regular,2026-03-09,162,4.06,True,Lima,San Miguel
62,Katelyn Gonzalez,Male,60,Regular,2023-07-23,203,4.21,True,Lima,Surco
63,Caitlin Beck,Male,18,Regular,2023-07-15,385,3.75,True,Lima,Centro de Lima
64,Albert Copeland,Male,22,Regular,2023-02-03,289,3.7,True,Lima,Ate
65,Morgan Leach,Male,40,Regular,2022-01-11,136,4.71,True,Lima,San Isidro
66,Chelsea Jones,Female,28,Premium,2025-01-06,418,5.0,True,Lima,Centro de Lima
67,Angela Foster,Female,57,Premium,2023-07-07,760,4.58,True,Lima,Ate
68,James Phelps,Female,60,Regular,2021-08-15,284,4.8,True,Lima,San Isidro
69,Michelle Wilson,Female,25,Business,2020-10-27,355,4.77,True,Lima,San Isidro
70,Alex Cherry,Female,36,Premium,2022-07-20,199,4.41,True,Lima,Callao
71,Belinda Spencer,Male,61,Regular,2020-07-17,176,4.48,True,Lima,Surco
72,Stephanie Santos,Male,23,Regular,2021-01-20,129,5.0,True,Lima,Los Olivos
73,Michael Lee,Male,39,Premium,2023-10-13,85,4.59,True,Lima,Barranco
74,Michael Wallace,Male,65,Regular,2021-08-30,135,5.0,True,Lima,Centro de Lima
75,Jessica Flores,Male,25,Regular,2024-01-15,219,2.99,True,Lima,San Isidro
76,Andrea Lopez,Male,52,Business,2023-01-15,1495,4.86,True,Lima,Miraflores
77,Anthony Moreno,Male,45,Premium,2024-07-30,636,4.63,True,Lima,Barranco
78,Kelsey Ray,Male,40,Regular,2023-12-11,187,4.15,True,Lima,La Molina
79,Kyle Harvey,Male,40,Regular,2024-01-02,342,4.35,True,Lima,Ate
80,Laura Tucker,Male,33,Premium,2021-10-06,456,4.0,True,Lima,Barranco
81,Steven Smith,Female,19,Business,2021-11-16,442,4.66,True,Lima,Barranco
82,Karen Holloway,Female,60,Premium,2022-05-29,380,4.71,True,Lima,La Molina
83,Raymond Farmer,Male,42,Regular,2020-09-13,360,5.0,True,Lima,Miraflores
84,Sean Mathis,Male,47,Premium,2021-05-26,267,4.44,True,Lima,San Miguel
85,Anthony Lopez,Male,19,Regular,2022-01-23,117,3.9,True,Lima,La Molina
86,David Hanson,Male,35,Regular,2023-01-18,143,4.05,True,Lima,San Miguel
87,James Holder,Female,19,Regular,2020-07-18,205,4.76,True,Lima,San Isidro
88,Dr. Lori Nelson DVM,Male,55,Premium,2020-06-15,307,4.7,True,Lima,Surco
89,Jacqueline Case,Female,40,Regular,2026-03-06,306,4.04,True,Lima,San Miguel
90,Angela Harris,Male,42,Regular,2024-02-29,262,4.56,True,Lima,Callao
91,Joshua Kim,Female,18,Regular,2025-11-11,23,4.35,False,Lima,Ate
92,Steven Wall,Male,41,Business,2021-06-24,1182,4.89,True,Lima,Los Olivos
93,William Price,Female,57,Regular,2023-02-17,341,3.95,True,Lima,San Miguel
94,Daniel Mcgee,Female,50,Regular,2025-05-18,64,4.14,True,Lima,Surco
95,Jamie Williams,Female,62,Regular,2021-11-19,168,4.1,True,Lima,Surco
96,Gabriel Duncan,Female,60,Regular,2024-10-03,99,3.57,True,Lima,Los Olivos
97,Bonnie Blackwell,Female,43,Regular,2021-01-22,90,4.45,True,Lima,Ate
98,Frances Everett,Female,31,Premium,2023-08-15,351,4.68,True,Lima,Los Olivos
99,Eric Mendoza,Female,47,Premium,2020-07-27,661,4.6,True,Lima,Centro de Lima
100,Donald Anderson,Female,65,Regular,2026-02-17,110,4.18,True,Lima,Barranco
101,Eric Graham,Female,23,Regular,2022-08-03,146,3.59,True,Lima,La Molina
102,Samantha Miles,Male,27,Regular,2024-10-21,116,4.09,True,Lima,Miraflores
103,Justin Buckley,Male,47,Regular,2022-08-08,244,4.13,True,Lima,Los Olivos
104,Lisa Oconnor,Male,63,Premium,2024-05-07,629,4.36,True,Lima,Los Olivos
105,Ricky Hanna,Male,59,Regular,2022-11-21,125,4.22,True,Lima,Miraflores
106,Patricia Hernandez,Male,45,Premium,2022-04-21,828,4.72,True,Lima,La Molina
107,Jose Hogan,Female,21,Regular,2025-02-16,357,5.0,True,Lima,Ate
108,Paul Franco,Female,26,Regular,2021-02-03,63,4.39,True,Lima,Centro de Lima
109,Anthony Walsh,Female,46,Regular,2023-11-19,287,4.43,True,Lima,Callao
110,Amy Barron,Female,53,Premium,2025-01-20,556,4.58,True,Lima,Centro de Lima
111,Cynthia Miller,Female,46,Premium,2021-09-15,801,4.02,True,Lima,Surco
112,Grant Young,Female,51,Premium,2022-12-06,900,4.59,True,Lima,Centro de Lima
113,Sydney Underwood,Female,22,Regular,2022-10-08,141,4.33,True,Lima,Surco
114,Kathy Adkins,Female,52,Regular,2025-06-10,172,5.0,True,Lima,San Isidro
115,Michael Lee,Female,62,Regular,2025-02-01,119,4.2,True,Lima,Barranco
116,Robert Brown,Female,44,Premium,2021-08-25,105,4.69,True,Lima,San Miguel
117,Michael Myers,Male,31,Regular,2020-07-07,213,4.28,True,Lima,Los Olivos
118,Joshua Parker,Male,54,Regular,2020-09-16,395,3.72,True,Lima,Los Olivos
119,Megan Rogers,Female,42,Regular,2025-05-21,181,4.87,True,Lima,Los Olivos
120,Robert Fleming,Male,49,Regular,2020-08-23,377,4.68,True,Lima,La Molina
121,Linda Cummings,Male,42,Regular,2021-02-11,249,4.7,True,Lima,San Miguel
122,Scott Martinez,Male,47,Regular,2020-09-03,208,3.85,True,Lima,Barranco
123,April Navarro,Male,43,Business,2022-03-24,1173,4.98,True,Lima,Callao
124,Kimberly Hanson,Male,59,Regular,2025-02-10,14,3.6,False,Lima,Los Olivos
125,Darren Valdez,Male,21,Regular,2025-06-01,237,4.59,True,Lima,Surco
126,Jose Martin,Female,38,Regular,2021-11-17,109,5.0,True,Lima,San Miguel
127,Tyler Shields,Female,44,Premium,2025-12-11,428,4.3,True,Lima,Surco
128,Gilbert Harris,Male,65,Premium,2026-02-24,521,4.43,True,Lima,Ate
129,Carla Williams,Male,59,Regular,2023-11-19,180,4.35,True,Lima,San Isidro
130,Christine Adams,Male,19,Premium,2020-06-19,707,4.45,True,Lima,La Molina
131,Brenda Ramsey,Male,33,Regular,2025-04-13,11,3.52,False,Lima,Barranco
132,Mr. Bruce Galvan,Male,47,Regular,2023-07-05,59,4.33,True,Lima,Surco
133,Derek Garrett,Male,28,Premium,2025-03-26,211,4.28,True,Lima,Surco
134,Derek Matthews,Female,54,Regular,2023-09-27,14,4.54,False,Lima,Los Olivos
135,Maria Alexander,Male,22,Regular,2021-08-11,367,3.84,True,Lima,Callao
136,James Gomez,Male,24,Regular,2022-05-23,322,5.0,True,Lima,Surco
137,Michael Navarro,Male,54,Premium,2026-04-17,654,4.37,True,Lima,Miraflores
138,Adam Morales,Female,22,Regular,2020-09-16,220,4.14,True,Lima,Ate
139,Raymond Griffith,Female,49,Regular,2020-11-12,7,4.71,False,Lima,San Isidro
140,Jason Petty,Female,63,Regular,2022-12-20,186,3.68,True,Lima,Barranco
141,Christopher Barrera,Female,57,Regular,2022-12-09,376,4.41,True,Lima,Ate
142,Alfred Chapman,Female,64,Premium,2026-02-11,516,4.99,True,Lima,Callao
143,Jason Roberts,Male,35,Regular,2020-07-22,126,3.5,True,Lima,Centro de Lima
144,Melvin Gill,Female,39,Regular,2025-08-23,238,4.39,True,Lima,Miraflores
145,Ryan Scott,Male,49,Regular,2022-08-03,167,4.43,True,Lima,La Molina
146,Eugene Ortega,Female,35,Regular,2023-12-29,133,4.69,True,Lima,Callao
147,Carla Stephenson,Male,51,Premium,2023-08-25,322,4.23,True,Lima,La Molina
148,William York,Female,49,Regular,2021-08-28,369,3.64,True,Lima,Ate
149,Dr. Ebony Cole PhD,Female,59,Premium,2023-05-18,747,4.76,True,Lima,Centro de Lima
150,Justin Reed,Male,36,Regular,2024-01-07,9,4.45,False,Lima,La Molina
151,Patricia Williams,Female,60,Regular,2020-12-11,125,4.43,True,Lima,Callao
152,Luis Fleming,Female,45,Regular,2023-04-30,284,4.47,True,Lima,Ate
153,Robert King,Female,35,Regular,2024-11-10,360,3.96,True,Lima,Surco
154,Travis Briggs,Male,38,Regular,2020-10-30,62,4.42,True,Lima,San Isidro
155,Rebecca Sherman,Male,30,Premium,2024-06-21,820,4.69,True,Lima,La Molina
156,Julie Fleming,Female,24,Premium,2020-08-08,323,4.39,True,Lima,La Molina
157,Kelsey Baldwin,Male,37,Regular,2025-02-01,185,5.0,True,Lima,Miraflores
158,Daniel Garcia,Female,20,Premium,2024-05-21,169,4.74,True,Lima,Miraflores
159,Jeffrey Rios,Male,58,Regular,2025-07-04,358,3.7,True,Lima,Centro de Lima
160,Tracy Hicks,Female,48,Regular,2020-11-04,7,4.63,False,Lima,Centro de Lima
161,Sherri Miranda,Male,34,Regular,2025-02-08,95,3.81,True,Lima,Centro de Lima
162,Benjamin Montgomery,Female,49,Regular,2021-11-25,34,4.69,False,Lima,San Isidro
163,William Jimenez,Male,27,Regular,2022-07-26,352,4.88,True,Lima,Barranco
164,Karen Howard,Male,33,Premium,2026-01-24,351,4.35,True,Lima,San Isidro
165,Lisa Potter,Male,51,Regular,2025-06-09,214,4.78,True,Lima,Los Olivos
166,Elizabeth Oconnor,Female,55,Regular,2025-11-28,227,4.51,True,Lima,Los Olivos
167,Yesenia Brown,Male,57,Regular,2021-10-27,318,4.71,True,Lima,San Isidro
168,Ebony Garcia,Male,34,Business,2022-11-02,505,5.0,True,Lima,San Isidro
169,Mason Schmidt,Male,28,Regular,2024-07-02,89,4.18,True,Lima,Miraflores
170,John Grant,Female,36,Regular,2025-09-13,353,3.92,True,Lima,Miraflores
171,Denise Carter,Female,62,Regular,2023-06-27,362,3.86,True,Lima,Centro de Lima
172,Joshua Bright,Female,58,Regular,2023-05-29,120,3.89,True,Lima,Callao
173,Katherine Griffith,Female,25,Regular,2024-12-12,102,4.26,True,Lima,Ate
174,Darrell Brown,Female,27,Regular,2021-08-26,77,4.47,True,Lima,San Isidro
175,Angel Herman,Female,46,Regular,2024-12-19,158,4.44,True,Lima,San Isidro
176,Dawn Snow,Female,35,Regular,2026-02-10,156,4.71,True,Lima,Ate
177,Michael Robinson,Male,56,Regular,2023-08-14,225,4.31,True,Lima,Miraflores
178,Elizabeth Le,Female,56,Premium,2022-02-13,792,5.0,True,Lima,Surco
179,Jennifer Brooks,Male,61,Regular,2023-05-15,118,4.17,True,Lima,Surco
180,Deborah Phelps,Male,48,Regular,2026-02-16,391,5.0,True,Lima,Ate
