driver_id,driver_name,gender,age,experience_years,driver_score,city,primary_zone,vehicle_type,completed_rides,driver_status,join_date
1,Timothy Patterson,Female,61,2,4.7,Lima,La Molina,SUV,254,Active,2025-12-13
2,Samantha Harper,Male,27,11,4.44,Lima,Callao,Hatchback,4517,Active,2021-11-17
3,Lindsay Dean,Male,26,4,4.76,Lima,Ate,SUV,1955,Active,2024-12-27
4,Devin Howard,Male,65,9,5.0,Lima,Centro de Lima,Motorbike,3486,Active,2025-08-24
5,Nicholas Smith,Female,21,13,4.41,Lima,San Miguel,Motorbike,1357,Active,2025-07-23
6,Benjamin Clark,Female,42,2,4.41,Lima,San Isidro,Motorbike,809,Active,2022-03-06
7,Margaret Dickerson,Female,59,5,5.0,Lima,Ate,Sedan,405,Inactive,2022-03-03
8,Dr. Becky Gardner,Female,45,2,4.81,Lima,Callao,Motorbike,4572,Active,2023-03-22
9,Melissa Wolfe,Female,25,1,4.31,Lima,San Isidro,SUV,1916,Active,2025-03-18
10,Benjamin Grimes,Female,45,5,4.72,Lima,Barranco,Motorbike,3764,Active,2025-08-15
11,Dr. Maria Stone,Male,63,5,4.31,Lima,Ate,SUV,634,Active,2026-01-06
12,Melissa Bryant,Male,45,5,4.31,Lima,San Miguel,Sedan,4612,Active,2023-02-26
13,Linda Griffith,Female,23,13,4.6,Lima,Surco,Sedan,2634,Active,2026-05-09
14,Monica Castro,Male,57,15,3.73,Lima,Centro de Lima,Hatchback,2627,Active,2024-11-13
15,Patricia Logan,Female,62,8,3.81,Lima,Barranco,SUV,1220,Active,2024-06-21
16,John Harris,Female,55,5,4.28,Lima,Callao,Hatchback,4838,Active,2023-03-24
17,Kelsey Stokes,Male,29,9,4.09,Lima,Miraflores,Sedan,4092,Active,2023-05-19
18,Karen Williams,Male,31,13,4.63,Lima,Los Olivos,Hatchback,3508,Active,2022-05-23
19,Jennifer Richards,Male,50,9,4.14,Lima,San Isidro,Motorbike,2109,Active,2022-07-24
20,Debra Jenkins,Female,42,2,3.94,Lima,Barranco,Hatchback,2454,Active,2023-04-01
21,Ashley Gonzalez,Male,37,9,5.0,Lima,Surco,SUV,1513,Active,2023-09-30
22,Brad Nguyen,Male,31,9,4.41,Lima,Callao,Motorbike,4394,Active,2024-06-22
23,Jacqueline Mack,Female,28,15,4.53,Lima,La Molina,Sedan,3023,Active,2025-08-29
24,Melissa Jackson,Female,57,2,3.93,Lima,San Isidro,SUV,751,Active,2022-12-06
25,Michelle Harris,Female,51,9,4.28,Lima,Ate,Hatchback,1402,Inactive,2024-12-20
26,Michael Anderson,Female,55,13,4.54,Lima,Los Olivos,Motorbike,1697,Active,2023-05-09
27,Michael Gomez,Male,54,8,4.04,Lima,La Molina,Sedan,1041,Active,2021-11-12
28,Julie Huang,Male,58,9,4.65,Lima,Miraflores,Sedan,1935,Active,2025-01-28
29,Valerie Richmond,Male,24,4,4.26,Lima,San Miguel,Sedan,602,Active,2025-11-09
30,Casey Dawson,Male,38,11,4.38,Lima,Ate,SUV,4026,Active,2025-02-13
31,Travis Allen,Male,57,10,4.26,Lima,Centro de Lima,Hatchback,3922,Active,2024-07-06
32,Jessica Cruz,Female,27,11,5.0,Lima,Los Olivos,Hatchback,3581,Active,2025-04-19
33,Peter Eaton,Male,24,11,4.49,Lima,Los Olivos,Motorbike,856,Active,2021-10-21
34,Marcia Lewis,Male,27,4,4.08,Lima,Ate,Hatchback,1619,Active,2026-03-01
35,Jennifer Ochoa,Male,32,5,4.83,Lima,San Isidro,Hatchback,3839,Active,2022-07-01
36,Victoria Jackson,Male,56,2,4.01,Lima,San Isidro,SUV,464,Active,2025-04-09
37,Jessica Cruz,Female,52,8,4.58,Lima,Miraflores,SUV,1801,Active,2024-12-13
38,Stephanie Craig,Female,45,5,3.72,Lima,Los Olivos,Hatchback,3777,Active,2021-12-04
39,Christine Dalton,Male,39,4,3.97,Lima,San Miguel,Sedan,529,Active,2021-06-07
40,Theresa Johnson,Male,51,9,4.58,Lima,Miraflores,Sedan,4400,Active,2023-12-05
41,Jessica Park,Male,25,10,4.8,Lima,Los Olivos,Sedan,606,Inactive,2023-01-24
42,Lori Hubbard,Male,57,4,4.57,Lima,Callao,Sedan,4792,Active,2026-01-25
43,Peter Lewis,Female,58,10,4.45,Lima,Surco,SUV,4332,Active,2022-02-10
44,Julia Turner,Female,41,4,4.38,Lima,Barranco,Motorbike,2225,Active,2024-07-15
45,Joshua Kelly,Male,25,1,3.91,Lima,San Isidro,SUV,3804,Active,2022-09-17
46,Michael Patton DVM,Male,29,15,4.21,Lima,La Molina,Motorbike,2909,Active,2026-04-28
47,Brianna Sanchez,Female,49,14,4.32,Lima,Callao,Sedan,4500,Active,2023-11-27
48,Taylor Bolton,Male,56,5,4.92,Lima,Surco,Sedan,898,Active,2025-07-15
49,Mario Mathis,Female,56,3,4.64,Lima,Callao,SUV,2281,Active,2026-04-26
50,Anthony Morgan,Female,34,11,3.79,Lima,Surco,Sedan,2212,Active,2026-03-27
51,Thomas Brown,Male,48,14,4.63,Lima,Miraflores,Motorbike,2316,Active,2022-08-20
52,Edward Gonzales,Female,61,5,4.35,Lima,Ate,Hatchback,1373,Active,2022-08-12
53,Karen Davis,Male,28,2,4.23,Lima,San Miguel,SUV,1271,Active,2024-04-30
54,Bradley Robertson,Male,23,5,4.74,Lima,San Miguel,SUV,3037,Active,2024-12-01
55,Christina Smith,Female,63,2,4.91,Lima,Callao,SUV,2947,Inactive,2023-10-21
56,James Cruz DDS,Male,36,14,4.87,Lima,Los Olivos,Sedan,1381,Active,2025-08-15
57,Paula Bryant,Male,42,13,4.16,Lima,Surco,SUV,3422,Active,2025-07-19
58,Kathryn Elliott MD,Female,27,7,4.38,Lima,La Molina,SUV,367,Active,2025-11-30
59,Jenna Campbell,Male,50,6,4.63,Lima,La Molina,Sedan,2550,Active,2021-12-27
60,Edward Hayes,Male,46,6,4.89,Lima,Surco,Motorbike,2332,Active,2024-04-15
61,Daniel Riley,Female,46,11,4.31,Lima,Miraflores,Sedan,4442,Active,2026-05-07
62,Michael Flores,Female,37,3,4.43,Lima,Miraflores,Sedan,4806,Active,2024-04-15
63,Colton Acevedo,Female,43,12,4.06,Lima,Callao,Sedan,2619,Active,2023-11-08
64,Rodney Schultz,Male,57,4,4.02,Lima,Los Olivos,Sedan,2136,Active,2023-10-02
65,Laura Kim,Female,55,11,4.83,Lima,Los Olivos,Sedan,1664,Inactive,2024-06-12
66,Katherine Richardson,Male,42,10,5.0,Lima,Surco,Motorbike,2621,Active,2021-12-23
67,Marc Lucas,Male,41,7,4.47,Lima,La Molina,Hatchback,2472,Active,2025-08-04
68,Amanda Lewis,Female,45,11,4.9,Lima,Los Olivos,Sedan,1475,Active,2024-08-22
